,0,1,2,3,4,5,6,7,8,9,10,11
26,21.0,41.88,21.39,20.03,22.55,31.77,9.5,22.31,28.94,14.47,22.7,17.34
27,21.17,48.4,41.7,27.86,20.55,84.94,7.664,6.598,7.38,9.23,7.094,10.29
28,43.44,25.17,28.88,34.5,55.03,30.08,14.47,4.21,4.59,7.973,19.19,33.4
29,17.97,29.45,39.28,22.81,29.38,37.88,5.316,2.941,8.15,14.7,5.3,6.727
30,18.28,11.32,12.336,14.22,32.62,11.07,5.715,6.875,10.516,4.29,5.07,5.875
31,34.66,14.22,16.06,20.53,6.64,17.17,5.68,3.795,6.28,5.406,9.57,16.9
32,12.57,20.11,17.55,16.39,25.45,23.94,2.104,6.934,19.11,11.58,8.84,8.984
33,5.688,48.56,111.25,23.12,15.055,83.9,11.766,2.215,25.78,26.77,42.62,28.02
34,11.266,6.332,28.39,4.49,77.4,16.08,7.312,4.344,11.3,2.742,2.133,2.814
35,10.76,27.73,18.42,15.164,3.414,86.1,9.54,9.61,12.57,10.516,8.56,7.355
36,15.28,12.805,35.2,13.25,15.805,17.83,8.484,2.188,17.0,7.19,5.664,5.84
37,35.7,13.78,20.42,13.24,51.53,19.3,5.363,5.098,7.11,7.117,8.24,16.33
38,19.38,100.25,18.11,41.84,10.9,80.94,6.844,6.07,15.766,17.61,14.54,26.1
39,13.44,45.97,5.82,24.14,6.223,38.38,6.324,11.52,26.8,21.42,18.55,17.52
40,23.2,9.055,4.91,13.73,2.645,6.844,4.453,7.203,8.24,5.38,7.9,7.996
41,8.99,3.586,26.08,4.742,38.3,5.668,1.336,13.65,3.615,3.756,3.389,4.285
42,18.0,1.688,1.828,4.215,2.787,1.026,21.94,9.75,4.92,3.309,3.447,4.54
43,18.86,29.27,109.1,21.5,31.08,49.1,19.75,4.875,5.8,13.58,13.336,14.18
44,48.3,124.56,69.94,84.7,29.92,183.6,55.53,67.5,66.7,34.78,30.31,35.4
45,10.17,17.25,44.47,11.15,23.78,29.75,14.25,21.64,13.836,8.73,8.12,7.35
46,25.52,14.42,42.0,20.1,36.94,12.12,3.494,3.242,12.79,4.86,2.92,5.426
47,7.336,23.08,28.48,17.5,54.44,23.6,85.7,23.05,13.375,12.98,11.12,11.92
48,27.16,23.36,24.81,28.36,17.14,22.67,37.75,13.74,9.61,11.35,16.1,29.1
49,10.13,77.6,53.4,40.88,25.0,45.5,14.72,12.8,27.73,29.78,26.52,42.4
50,10.21,10.61,16.2,7.6,23.92,10.57,1.469,7.402,27.9,14.15,8.9,4.375
51,13.05,17.03,17.97,18.55,14.47,13.17,19.2,17.4,11.56,4.51,3.742,5.14
52,20.84,11.445,9.305,9.86,11.914,7.023,10.67,6.367,10.664,8.41,8.68,7.96
53,3.543,30.33,22.88,10.305,2.008,74.4,12.12,12.87,11.22,9.3,10.98,10.73
54,36.0,61.8,32.16,48.8,21.31,47.44,5.97,4.098,23.73,29.31,19.47,16.44
55,54.75,47.75,26.58,49.88,26.06,39.72,12.63,4.004,29.38,32.88,60.1,54.6
56,19.23,20.75,12.4,21.06,23.56,18.27,7.855,4.418,16.02,11.34,8.85,9.35
57,28.89,8.92,5.277,12.63,15.055,5.992,3.516,4.457,18.1,13.945,5.484,5.48
58,16.17,11.75,15.55,11.805,21.69,9.24,63.22,3.96,8.22,6.02,4.824,6.71
59,28.39,55.75,7.33,41.38,18.88,42.47,3.225,3.7,8.52,29.86,25.23,19.23
60,16.5,19.7,17.97,17.9,41.2,21.23,7.46,12.28,24.92,12.6,7.324,6.71
61,20.12,9.516,44.25,16.94,30.0,8.01,3.98,5.445,13.125,8.234,6.95,5.664
62,21.05,22.47,66.94,20.23,29.9,36.47,25.19,2.209,4.96,6.35,3.584,2.805
63,11.516,33.84,8.33,15.2,11.914,8.53,1.99,3.988,19.06,20.69,10.766,10.11
64,22.28,17.11,13.0,17.27,48.47,14.484,15.516,22.23,6.586,5.27,7.008,10.68
65,9.75,11.7,17.23,11.01,29.78,12.02,12.91,6.29,10.09,5.92,7.137,5.277
66,36.8,14.016,6.51,18.66,13.18,10.47,8.3,3.129,34.1,3.488,5.402,7.71
67,27.73,38.78,10.914,39.2,18.73,33.12,7.48,5.254,7.98,12.54,18.23,28.84
68,8.72,10.52,15.29,9.03,23.39,11.84,5.32,12.19,11.99,6.0,3.629,4.402
69,34.6,11.51,8.84,14.02,4.67,8.47,3.426,7.723,9.38,7.06,4.723,5.39
70,6.855,16.97,17.44,10.06,8.64,46.94,5.38,4.582,5.746,3.525,2.47,1.527
71,130.2,28.69,12.625,61.47,29.31,13.266,23.42,5.133,9.484,18.08,8.32,10.59
72,9.74,40.84,3.12,22.11,4.3,15.734,9.26,2.955,5.95,2.69,4.406,6.926
73,19.77,7.23,6.723,8.88,22.84,6.027,4.395,3.43,8.22,6.254,5.223,7.258
74,22.38,17.19,15.82,18.44,15.07,14.08,15.07,10.65,7.875,2.52,5.16,4.06
75,11.33,17.95,10.09,14.43,8.195,19.17,4.277,2.49,12.414,12.234,4.625,6.055
76,34.1,34.16,61.38,38.78,42.62,22.17,6.5,16.55,22.83,19.33,23.97,22.39
77,42.0,19.34,16.89,24.7,43.2,14.234,13.16,5.336,27.78,16.98,9.76,13.5
78,24.83,13.52,24.16,20.5,23.36,21.95,4.48,14.72,30.34,20.36,18.53,13.16
79,36.62,24.03,22.8,29.28,56.6,17.08,7.066,14.484,20.81,11.41,12.375,13.305
80,16.97,18.4,24.53,16.22,31.03,24.94,1.947,1.313,115.06,8.48,8.945,14.46
81,73.3,25.44,121.75,42.53,100.4,28.22,10.82,5.184,15.18,16.95,12.36,13.09
82,33.53,8.74,29.92,16.44,59.44,12.31,9.18,6.098,8.46,4.69,6.035,7.117
83,36.56,31.66,37.7,30.78,56.9,36.34,5.51,5.633,13.3,15.01,21.48,20.67
84,14.375,4.332,1.721,5.348,20.38,3.13,1.77,5.387,8.42,6.715,6.633,5.938
85,38.66,16.22,10.3,22.4,16.12,14.336,11.81,11.61,23.67,12.266,10.56,8.55
86,68.6,24.92,24.25,27.08,52.53,23.1,14.42,10.18,23.25,22.6,12.086,6.816
87,19.64,28.7,22.61,28.28,17.44,17.73,14.32,6.504,10.71,11.29,8.83,6.758
88,18.34,28.03,49.53,22.39,70.06,29.75,10.41,22.75,26.06,9.625,14.47,17.27
89,15.71,13.695,9.875,9.25,28.31,14.4,3.885,3.783,4.695,3.12,4.973,4.848
90,24.08,19.16,54.34,16.88,33.9,24.34,7.83,3.39,3.785,2.4,4.785,7.97
91,36.56,18.48,16.45,24.58,44.5,17.42,9.56,2.72,27.62,11.97,9.53,11.45
92,6.51,9.336,24.4,8.88,12.63,13.68,13.56,9.555,5.96,4.508,2.316,47.16
93,6.312,5.12,7.242,5.555,11.2,7.12,2.213,4.09,8.63,5.047,3.8,3.516
94,20.98,6.066,7.3,8.35,8.76,5.273,4.605,2.031,4.91,3.521,3.998,6.355
95,8.64,8.375,12.22,7.297,20.33,9.97,4.766,4.438,15.61,2.127,2.465,1.484
96,6.94,15.85,5.73,9.086,7.21,4.426,8.52,4.98,4.348,7.27,4.242,2.975
97,28.14,13.64,14.06,22.11,35.7,9.805,8.24,0.5337,5.133,28.0,7.992,5.57
98,18.03,10.1,7.863,10.77,12.85,9.64,9.336,1.455,6.14,3.955,3.645,3.451
99,22.88,14.67,8.88,21.6,28.62,11.68,4.9,1.232,15.375,17.1,15.22,14.914
100,22.73,22.14,10.86,26.47,30.34,24.55,5.637,10.48,15.48,7.383,9.08,10.3
101,4.29,56.22,133.5,24.83,16.78,132.0,4.844,26.28,32.53,11.86,6.92,7.453
102,88.06,93.5,12.73,116.8,32.03,24.81,15.05,9.0,15.16,26.11,41.12,72.44
103,12.22,7.945,11.16,7.492,12.13,9.97,3.94,6.246,4.11,4.45,4.293,6.25
104,21.25,16.02,16.66,16.86,76.6,18.06,2.262,4.26,14.03,14.164,8.9,6.93
105,37.28,43.25,39.38,40.44,25.44,38.22,27.47,0.7754,25.81,11.32,13.15,15.5
106,21.56,12.04,26.9,17.88,33.38,13.65,11.09,4.742,13.01,12.91,7.816,7.105
107,29.55,46.7,93.9,37.5,37.2,39.0,9.65,13.68,28.3,9.55,12.04,11.484
108,27.38,7.293,18.67,11.87,37.3,3.059,7.875,3.227,6.316,7.473,7.047,10.05
109,9.3,17.84,15.664,10.09,36.0,25.77,11.75,12.83,14.46,5.91,5.098,4.72
110,29.89,25.4,57.44,16.77,140.9,37.03,8.555,6.258,7.836,13.234,11.85,11.45
111,3.58,29.25,14.125,9.62,2.615,27.88,6.105,5.383,12.04,7.523,4.297,4.875
112,6.383,20.2,11.81,13.66,4.758,13.9,4.234,5.61,15.59,6.44,6.72,3.773
113,20.67,4.156,3.375,6.273,9.1,2.516,2.846,3.83,7.9,5.676,4.676,4.16
114,7.414,6.723,4.625,6.03,33.62,6.957,6.098,5.375,1.65,1.268,1.16,1.994
115,17.25,48.47,20.23,34.16,8.63,41.4,6.062,10.94,10.99,10.99,14.59,19.28
116,11.836,36.94,25.44,18.45,15.484,71.44,15.3,19.88,21.02,9.68,8.73,10.39
117,13.62,20.92,21.34,18.28,26.73,15.875,15.234,4.773,13.33,10.3,8.11,6.93
118,9.38,28.88,12.47,15.16,8.625,62.3,3.447,22.06,8.5,6.37,11.86,12.64
119,37.34,18.67,4.305,21.89,37.0,9.59,5.98,6.758,28.31,7.04,9.2,5.234
120,6.152,11.88,11.44,5.66,8.12,26.81,6.934,14.125,18.12,10.664,3.023,4.164
121,10.625,36.1,12.09,18.8,5.12,27.05,4.812,6.902,10.52,6.188,9.7,8.07
122,29.17,14.24,7.76,18.53,26.34,12.19,5.52,8.98,9.9,6.934,6.324,6.094
123,14.04,10.23,25.55,10.8,39.28,10.09,5.473,3.775,10.6,4.305,4.82,6.316
124,22.39,9.71,12.016,13.08,15.54,11.375,7.707,14.48,8.45,10.32,6.45,6.62
125,16.58,22.84,43.1,18.64,37.16,30.53,8.95,2.334,46.12,8.84,9.52,11.81
126,17.34,13.01,13.82,8.45,51.0,13.664,1.532,3.023,4.105,6.96,20.92,4.496
127,58.9,32.25,64.6,43.22,86.0,39.88,18.64,10.305,15.086,12.125,15.5,17.55
128,6.25,14.875,41.2,5.957,10.836,16.77,9.91,11.01,18.33,6.6,6.617,6.08
129,9.24,29.89,12.38,26.69,4.434,19.95,4.785,6.395,19.36,19.3,18.55,14.914
130,21.02,16.7,27.6,18.03,58.4,15.18,1.802,3.102,20.06,22.97,27.92,24.11
131,5.9,45.4,14.484,12.375,4.938,108.25,4.574,10.14,16.77,8.61,8.94,9.04
132,27.58,15.805,52.12,19.88,49.06,22.38,11.305,5.977,15.78,12.99,14.87,19.73
133,8.99,36.22,8.02,15.32,4.64,27.86,4.74,18.86,18.1,10.68,8.914,12.92
134,13.34,39.28,24.14,30.17,5.75,45.66,23.52,10.58,5.367,3.273,5.13,21.06
135,13.91,24.7,30.22,18.92,26.4,26.48,1.934,4.87,45.62,13.45,11.31,12.484
136,9.11,24.39,30.55,22.6,33.56,25.94,4.496,4.32,5.62,30.72,7.727,6.426
137,9.11,24.39,30.55,22.6,33.56,25.94,4.496,4.32,5.62,30.72,7.727,6.426
138,10.53,6.188,37.53,12.39,23.53,19.34,3.203,7.715,9.01,5.586,4.207,6.39
139,5.297,15.03,16.89,9.49,8.77,26.06,2.098,3.568,15.5,4.223,1.226,2.83
140,15.74,33.2,21.55,21.67,9.13,23.53,11.336,3.873,5.227,2.959,5.145,5.547
141,18.22,33.53,17.73,37.9,13.91,22.56,10.38,14.96,13.99,10.43,20.84,19.0
142,12.8,3.395,4.54,10.234,5.625,3.535,14.36,7.43,4.54,4.145,19.45,21.55
143,12.8,3.395,4.54,10.234,5.625,3.535,14.36,7.43,4.54,4.145,19.45,21.55
144,11.234,33.0,14.32,18.23,4.88,42.84,3.252,7.74,11.68,13.48,25.36,34.7
145,16.23,1.934,1.431,17.75,1.859,1.656,4.285,6.43,8.33,4.617,2.812,2.016
146,21.94,13.53,27.38,15.96,51.53,17.5,7.297,0.798,13.06,7.734,6.62,9.52
147,46.62,29.45,15.984,28.97,12.99,20.11,21.19,7.695,10.336,13.59,16.02,26.6
148,10.6,6.66,43.06,7.27,22.52,9.5,3.21,1.988,7.11,6.93,3.445,4.29
149,18.88,15.47,4.082,14.16,14.21,7.125,2.182,11.77,14.375,10.2,2.947,3.582
150,17.9,11.67,3.652,15.73,12.23,8.52,6.746,3.732,7.453,10.74,8.195,12.72
151,56.28,53.03,47.5,29.17,54.97,42.16,5.49,1.922,3.145,1.242,2.654,2.46
152,14.88,17.06,18.84,17.58,10.3,19.2,5.773,7.53,13.88,13.61,16.56,11.79
153,16.05,23.1,12.06,23.33,12.19,19.02,92.2,13.15,20.36,17.25,11.055,9.39
154,11.69,79.56,21.1,44.78,7.42,46.3,11.29,11.31,6.477,6.355,19.48,50.62
155,5.25,16.9,19.5,8.88,12.96,39.1,11.45,18.39,14.805,7.082,2.34,2.242
156,27.86,52.03,7.742,61.56,5.836,26.56,14.79,21.1,40.47,26.88,20.33,33.75
157,88.8,146.0,67.4,153.2,9.9,107.6,8.16,12.17,17.3,44.2,82.06,72.75
158,7.67,24.12,7.957,20.56,2.05,15.734,10.945,10.44,10.164,5.82,12.09,23.62
159,5.086,22.12,10.85,10.87,3.732,36.53,5.414,10.36,8.016,4.777,2.658,6.68
160,33.78,57.3,34.28,45.38,24.05,51.03,6.805,2.842,5.055,6.375,22.8,45.47
161,1.072,10.945,0.7183,8.914,0.7617,3.217,0.93,3.395,4.848,6.613,4.55,4.547
162,34.5,46.44,126.2,44.22,21.84,41.94,9.414,1.85,7.066,28.48,26.88,38.6
163,25.89,28.39,26.94,25.77,17.89,11.46,2.033,2.443,2.564,4.047,25.48,17.58
164,13.47,8.97,21.61,10.65,21.38,9.69,2.777,1.589,7.074,6.18,5.89,5.85
165,7.27,19.0,0.6177,24.1,1.073,2.482,7.227,6.082,8.24,12.2,19.77,25.69
166,10.12,24.12,26.44,15.87,19.66,26.52,7.066,14.41,17.5,15.445,4.637,6.062
167,11.95,30.53,2.06,36.9,2.648,7.69,11.24,13.69,5.285,1.705,9.92,15.26
168,11.19,41.53,14.73,35.1,9.375,31.17,4.996,21.56,17.45,12.484,9.57,9.164
169,5.777,8.46,5.836,6.906,5.914,7.53,4.246,15.414,4.3,1.861,1.951,4.312
170,3.248,5.71,9.46,4.72,3.809,15.336,4.79,8.945,8.85,2.572,0.6104,0.9
171,28.67,59.44,14.92,38.78,20.47,46.56,9.234,14.19,23.83,26.53,21.14,35.8
172,31.14,32.47,7.63,33.2,13.9,14.79,6.58,7.574,12.08,4.94,8.164,10.86
173,23.55,17.53,9.86,17.77,18.14,11.89,10.484,3.705,7.027,13.445,6.434,5.48
174,26.33,50.84,17.4,34.84,13.33,105.56,35.94,10.45,9.72,14.79,21.9,21.81
175,15.15,22.28,17.7,19.6,31.44,18.64,8.17,9.93,9.67,9.9,7.78,11.305
176,10.7,117.7,15.46,83.94,7.895,41.62,9.16,28.39,30.64,53.8,67.25,44.56
177,30.75,6.797,5.273,9.945,15.89,6.25,6.293,4.473,17.23,9.23,9.0,7.203
178,28.25,31.94,10.53,33.6,26.11,21.16,4.535,5.832,8.26,16.52,16.8,27.31
179,12.17,302.5,25.47,49.28,13.83,59.38,10.07,7.02,5.383,8.06,15.555,19.25
180,5.395,45.4,8.945,16.97,6.574,19.19,7.484,29.6,28.0,29.86,51.1,70.5
181,9.94,5.082,2.986,14.94,4.73,2.355,5.016,5.938,5.68,6.145,6.367,8.016
182,14.57,18.97,19.56,19.11,22.38,19.8,19.55,5.03,2.352,4.74,8.44,11.914
183,17.56,52.47,5.895,57.34,4.074,20.98,4.395,3.79,8.77,7.555,11.76,14.61
184,5.758,29.53,37.84,11.27,7.387,47.44,2.39,1.842,5.133,20.83,9.914,8.52
185,9.9,13.734,32.3,11.62,4.17,21.11,4.973,2.922,2.004,1.606,2.344,8.69
186,41.56,38.62,59.38,26.78,41.97,54.2,11.42,4.4,8.266,15.94,28.89,24.45
187,21.47,26.95,4.855,32.44,5.05,22.72,2.893,27.81,20.61,11.89,9.02,21.52
188,20.5,74.8,7.133,58.66,4.824,32.8,1.339,2.396,3.355,13.58,30.53,36.47
189,15.016,21.22,12.734,49.78,9.484,15.15,61.34,5.47,8.63,8.164,19.25,16.89
190,7.49,14.32,26.1,8.695,17.36,19.31,8.01,2.049,4.27,5.523,2.283,2.145
191,3.943,15.95,34.34,10.56,17.73,25.11,22.28,28.97,16.39,5.785,3.611,3.654
192,10.875,21.2,37.72,16.12,16.64,32.62,4.457,10.0,5.17,1.98,1.679,2.611
193,12.51,33.6,8.78,15.52,9.0,31.3,4.64,5.105,13.12,8.2,4.492,14.39
194,6.27,17.84,13.43,10.15,8.34,14.8,10.555,28.61,13.84,7.7,11.48,7.824
195,18.97,7.246,9.05,8.734,29.5,7.336,7.184,3.543,18.16,10.04,6.586,5.242
196,15.766,13.555,18.19,16.83,25.17,18.97,17.55,14.47,11.58,10.29,9.63,14.37
197,22.86,13.04,12.17,13.82,24.36,12.77,5.258,3.393,2.545,4.176,15.55,12.516
198,14.28,114.0,254.6,58.97,37.44,183.2,6.902,16.23,29.6,17.53,31.81,41.66
199,12.53,27.34,25.6,18.66,31.48,34.4,6.79,4.84,4.46,26.55,38.66,39.66
200,24.7,44.03,68.06,38.6,7.633,54.9,11.77,35.62,14.0,13.7,21.16,21.73
201,6.51,25.92,25.23,12.83,10.66,63.75,1.613,10.375,27.19,50.1,35.88,23.66
202,15.39,9.5,24.62,9.63,32.22,19.86,25.33,6.867,5.734,2.475,3.178,5.15
203,49.84,10.266,10.35,20.0,14.36,7.56,7.832,1.561,2.598,15.81,10.49,6.75
204,12.74,18.94,21.06,13.195,17.03,21.1,30.22,5.44,8.93,7.406,6.594,8.32
205,26.62,18.6,28.25,18.48,31.81,15.59,21.52,8.63,16.12,13.95,10.016,10.19
206,20.06,28.73,45.34,22.39,37.56,38.16,10.46,26.81,11.19,7.06,9.16,11.86
207,16.31,16.02,22.77,14.01,26.61,12.74,8.55,5.926,13.664,14.03,11.945,14.71
208,24.88,8.65,9.4,10.625,9.2,8.2,16.42,6.05,23.98,1.236,1.412,5.71
209,16.27,19.19,7.316,19.9,17.97,13.43,25.2,24.6,10.89,5.51,4.355,6.97
210,12.52,15.45,38.06,12.62,11.97,19.55,5.836,3.21,12.44,21.33,6.535,3.268
211,25.11,28.73,106.5,26.19,36.56,38.53,17.84,29.81,42.9,28.92,21.17,17.45
212,18.02,29.89,39.22,20.42,34.12,42.9,14.055,8.6,15.65,9.38,9.64,14.2
213,9.695,11.53,45.12,7.746,13.63,19.28,4.484,5.094,8.1,8.055,7.07,18.08
214,13.19,112.8,49.9,53.88,14.85,149.1,7.72,15.97,21.47,34.53,60.34,58.75
215,47.25,43.38,80.3,42.06,44.66,42.12,8.31,12.25,11.3,7.227,11.18,19.78
216,24.66,38.72,38.62,32.8,24.95,29.45,4.867,4.73,14.21,17.45,23.6,16.86
217,16.31,11.41,16.06,11.84,34.6,12.555,5.996,6.34,11.44,3.867,3.111,10.97
218,24.22,6.863,7.63,17.62,16.17,4.75,7.688,2.59,3.498,10.29,6.58,8.84
219,24.23,59.6,10.34,59.8,5.1,35.62,37.06,39.25,30.7,12.26,13.66,23.06
220,5.06,20.88,33.28,9.984,4.215,73.1,1.314,3.977,6.285,16.44,18.36,8.49
221,118.06,75.5,50.72,85.1,45.28,61.5,122.3,103.2,11.79,16.64,25.56,24.89
222,9.31,12.64,6.848,11.62,2.666,12.055,1.456,2.0,3.178,7.508,2.703,2.262
223,20.2,12.11,9.625,14.96,34.34,8.375,8.1,12.65,21.08,8.97,5.957,4.64
224,34.7,48.25,85.0,35.88,67.6,58.62,32.16,10.125,2.559,5.953,13.45,40.16
225,8.31,20.05,3.68,12.984,4.57,5.53,36.4,3.37,3.078,2.547,7.168,5.094
226,13.836,35.84,50.9,20.27,12.25,73.8,1.355,7.742,26.86,65.25,27.9,14.25
227,10.42,21.86,23.94,11.95,11.26,62.1,13.3,9.59,14.58,7.445,8.77,7.43
228,27.88,24.88,38.9,28.64,28.3,28.06,11.2,5.406,11.414,16.48,9.94,11.72
229,13.14,5.977,12.45,5.14,37.1,10.66,1.045,1.473,12.73,21.61,5.03,4.164
230,8.05,7.387,5.49,6.336,10.74,5.164,6.445,0.9473,5.793,5.742,3.44,4.69
231,21.69,12.74,11.17,17.03,54.0,9.41,5.176,1.458,7.26,6.07,8.68,7.695
232,11.984,25.39,65.25,17.84,16.77,58.84,25.92,28.39,12.02,2.102,2.395,9.73
233,32.97,65.7,96.06,45.4,73.7,77.8,2.146,3.285,3.016,8.85,122.4,12.11
234,15.97,30.16,6.52,43.25,7.95,17.58,25.77,9.44,12.43,15.7,21.95,32.38
235,34.38,6.797,13.42,13.4,75.0,8.46,17.92,11.66,17.3,3.23,2.723,2.613
236,8.66,7.81,24.33,9.305,23.81,6.215,3.018,5.023,13.164,10.766,8.82,6.535
237,8.555,37.38,8.97,42.25,5.203,13.23,12.26,4.094,8.125,11.82,16.34,47.7
238,16.48,16.3,40.1,11.65,23.64,30.14,5.19,2.965,6.72,18.77,5.8,4.5
239,6.27,23.22,10.266,12.5,5.336,24.81,6.965,6.07,14.74,9.89,6.117,4.184
240,35.6,40.47,35.38,37.6,30.38,45.38,8.01,7.742,26.67,32.16,27.11,22.69
241,77.9,5.113,5.594,12.83,14.98,4.04,3.97,2.295,4.312,2.027,2.969,4.133
242,54.88,23.75,20.97,24.23,13.664,26.08,23.73,3.701,54.38,22.66,14.77,11.38
243,17.83,19.3,4.004,16.1,11.66,15.26,2.174,5.13,15.24,4.94,7.656,14.35
244,23.67,76.25,23.3,50.06,16.92,85.94,26.75,6.188,22.95,17.16,24.4,24.03
245,28.08,8.89,10.47,10.12,13.36,9.76,10.06,2.262,10.39,5.35,7.082,7.54
246,25.17,19.1,23.7,26.73,14.234,15.484,6.375,9.15,12.7,6.28,8.15,7.05
247,39.84,30.81,19.36,41.22,17.61,22.06,2.781,1.807,5.32,6.72,9.23,12.49
248,14.49,29.88,15.164,20.9,17.42,36.34,3.717,5.297,12.805,9.055,12.586,11.48
249,15.21,16.81,40.62,14.1,23.27,24.7,9.555,1.618,89.2,27.62,38.2,11.914
250,7.16,25.31,18.44,13.66,10.914,69.8,54.72,13.55,11.85,10.06,12.63,11.13
251,9.37,12.55,19.64,8.64,39.5,13.81,3.682,20.5,10.984,7.395,5.63,6.883
252,20.84,70.1,12.62,35.0,12.836,85.94,15.805,13.984,33.28,32.28,23.33,21.05
253,13.19,25.7,5.492,18.08,9.97,12.67,4.387,9.28,30.62,19.22,9.77,8.39
254,48.03,49.6,13.04,74.44,21.98,14.41,20.25,71.44,41.53,30.73,32.06,44.4
255,24.17,46.28,10.93,89.44,8.98,14.445,9.76,8.64,5.402,8.4,32.75,16.83
256,4.24,30.52,12.15,5.59,1.643,53.72,20.56,3.314,2.107,22.45,37.38,5.184
257,13.52,9.234,43.38,11.64,20.0,34.6,4.637,4.113,12.19,9.11,1.252,4.543
258,24.39,69.44,211.5,34.12,137.9,111.5,10.75,23.73,24.55,19.42,26.53,20.88
259,14.484,23.16,3.824,23.72,7.773,15.52,34.03,36.0,10.58,6.152,8.59,15.75
260,7.49,21.92,4.457,12.38,6.027,10.65,41.3,14.805,13.79,11.33,10.445,15.71
261,7.492,27.2,18.42,18.42,1.677,30.23,11.7,49.75,75.25,28.67,19.17,15.15
262,130.9,50.03,33.84,88.8,41.03,16.0,10.01,5.34,2.104,110.44,89.5,31.47
263,6.215,14.836,12.01,7.57,5.223,19.17,7.457,30.22,31.62,5.59,4.77,5.5
264,7.09,65.56,13.37,25.47,7.45,116.1,11.43,3.76,6.32,14.195,9.19,7.28
265,13.15,18.97,5.082,26.89,5.49,11.3,10.44,20.66,26.61,90.94,111.94,16.06
266,14.27,26.12,16.97,19.75,11.61,15.586,6.855,5.574,7.492,7.29,3.725,3.332
267,6.195,24.08,3.549,10.81,2.54,14.375,5.14,9.97,8.59,9.37,5.56,5.246
268,17.89,17.1,6.5,18.84,12.94,4.844,3.174,1.585,2.12,2.371,5.97,21.27
269,12.83,36.84,9.67,20.48,7.812,38.75,2.064,6.977,29.3,14.34,5.324,4.133
270,29.3,32.06,121.75,23.31,60.06,75.8,14.83,10.58,5.332,5.62,3.16,1.182
271,7.35,45.44,4.973,16.39,5.117,41.6,26.89,4.797,6.062,21.55,10.4,7.45
272,23.36,41.34,45.34,17.94,26.22,55.56,4.39,8.195,14.13,12.19,6.418,8.805
273,3.307,16.77,3.484,6.203,3.344,7.887,2.188,5.26,25.61,10.91,6.965,14.195
274,5.566,8.164,17.44,6.684,7.824,11.516,24.27,6.273,9.24,5.24,4.59,3.39
275,2.701,9.555,2.016,5.61,2.354,14.08,5.047,24.53,37.56,5.41,2.54,2.53
276,21.53,10.305,5.926,13.59,28.9,21.92,17.39,3.926,46.2,9.94,6.574,7.305
277,8.805,22.88,16.36,11.22,8.56,27.25,13.586,8.19,4.83,4.062,3.975,3.88
